data,timeStamp
15.47,10/7/2021 0:00:03
13.6,10/7/2021 0:00:03
14.4,10/7/2021 0:00:09
13.54,10/7/2021 0:00:10
15.94,10/7/2021 0:00:16
14,10/7/2021 0:00:17
13.4,10/7/2021 0:00:23
15.04,10/7/2021 0:00:23
13.79,10/7/2021 0:00:29
13.8,10/7/2021 0:00:31
15.42,10/7/2021 0:00:35
13.6,10/7/2021 0:00:37
15.63,10/7/2021 0:00:41
13.7,10/7/2021 0:00:45
13.56,10/7/2021 0:00:47
13.6,10/7/2021 0:00:52
14.66,10/7/2021 0:00:55
13.5,10/7/2021 0:00:59
14.84,10/7/2021 0:01:01
13.8,10/7/2021 0:01:04
13.93,10/7/2021 0:01:07
13.4,10/7/2021 0:01:12
15.19,10/7/2021 0:01:13
13.8,10/7/2021 0:01:18
15,10/7/2021 0:01:18
13.5,10/7/2021 0:01:26
13.62,10/7/2021 0:01:29
13.9,10/7/2021 0:01:33
15.58,10/7/2021 0:01:36
13.5,10/7/2021 0:01:40
13.94,10/7/2021 0:01:42
13.9,10/7/2021 0:01:46
15.5,10/7/2021 0:01:49
14.1,10/7/2021 0:01:54
14.7,10/7/2021 0:01:56
13.4,10/7/2021 0:02:00
13.5,10/7/2021 0:02:08
13.4,10/7/2021 0:02:14
14,10/7/2021 0:02:22
13.37,10/7/2021 0:02:25
12.9,10/7/2021 0:02:27
14.1,10/7/2021 0:02:36
15.56,10/7/2021 0:02:36
13.2,10/7/2021 0:02:41
13.07,10/7/2021 0:02:42
14.7,10/7/2021 0:02:47
13.5,10/7/2021 0:02:50
13.7,10/7/2021 0:02:55
14.5,10/7/2021 0:02:55
14.76,10/7/2021 0:03:01
13.8,10/7/2021 0:03:04
15.44,10/7/2021 0:03:07
13.5,10/7/2021 0:03:09
14.48,10/7/2021 0:03:12
13.8,10/7/2021 0:03:18
13.7,10/7/2021 0:03:23
15.25,10/7/2021 0:03:23
15.42,10/7/2021 0:03:28
14.2,10/7/2021 0:03:32
14.76,10/7/2021 0:03:35
13.7,10/7/2021 0:03:37
14.46,10/7/2021 0:03:40
13.3,10/7/2021 0:03:46
14.94,10/7/2021 0:03:46
13.8,10/7/2021 0:03:51
15.13,10/7/2021 0:03:51
15.39,10/7/2021 0:03:59
13.4,10/7/2021 0:04:00
14.35,10/7/2021 0:04:04
13.8,10/7/2021 0:04:06
13.6,10/7/2021 0:04:14
15.17,10/7/2021 0:04:16
13.8,10/7/2021 0:04:19
15.41,10/7/2021 0:04:21
15.48,10/7/2021 0:04:27
13.9,10/7/2021 0:04:28
13.5,10/7/2021 0:04:33
14.48,10/7/2021 0:04:34
14.8,10/7/2021 0:04:39
13.7,10/7/2021 0:04:41
14.5,10/7/2021 0:04:44
13.4,10/7/2021 0:04:47
15.8,10/7/2021 0:04:50
13.6,10/7/2021 0:04:55
14.47,10/7/2021 0:04:56
13.7,10/7/2021 0:05:01
12.24,10/7/2021 0:05:01
13.28,10/7/2021 0:05:07
13.5,10/7/2021 0:05:09
13.64,10/7/2021 0:05:13
13.7,10/7/2021 0:05:15
15.58,10/7/2021 0:05:18
13.5,10/7/2021 0:05:23
12.57,10/7/2021 0:05:24
13.9,10/7/2021 0:05:29
14.8,10/7/2021 0:05:35
13.3,10/7/2021 0:05:37
13.95,10/7/2021 0:05:41
14,10/7/2021 0:05:43
14.62,10/7/2021 0:05:47
13.5,10/7/2021 0:05:51
15.53,10/7/2021 0:05:53
13.8,10/7/2021 0:05:57
15.64,10/7/2021 0:05:58
14.76,10/7/2021 0:06:04
13.2,10/7/2021 0:06:05
14.23,10/7/2021 0:06:10
13.5,10/7/2021 0:06:11
15.39,10/7/2021 0:06:16
13.7,10/7/2021 0:06:19
15.86,10/7/2021 0:06:22
13.4,10/7/2021 0:06:25
14.68,10/7/2021 0:06:30
13.5,10/7/2021 0:06:33
15.52,10/7/2021 0:06:36
13.7,10/7/2021 0:06:39
15.7,10/7/2021 0:06:43
13.8,10/7/2021 0:06:47
13.45,10/7/2021 0:06:50
13.4,10/7/2021 0:06:53
14.11,10/7/2021 0:06:58
13.6,10/7/2021 0:07:01
15.19,10/7/2021 0:07:04
13.9,10/7/2021 0:07:07
14.49,10/7/2021 0:07:10
13.8,10/7/2021 0:07:15
14.38,10/7/2021 0:07:15
13.5,10/7/2021 0:07:21
14.11,10/7/2021 0:07:21
15.53,10/7/2021 0:07:27
13.8,10/7/2021 0:07:29
14.56,10/7/2021 0:07:33
13.4,10/7/2021 0:07:35
15.46,10/7/2021 0:07:41
13.8,10/7/2021 0:07:43
14.94,10/7/2021 0:07:47
13.8,10/7/2021 0:07:49
14.62,10/7/2021 0:07:53
13.4,10/7/2021 0:07:57
